mechanism,source,model_name,decoding_seed,sample_seed,layer,alpha,expected_direction,n,baseline_n,target_mean,baseline_target_mean,delta_vs_alpha0
ER,canonical,meta-llama/Llama-3.1-8B-Instruct,12,42,15,-1.0,negative,200,200,0.645,0.86,-0.2149999999999999
ER,ex30,meta-llama/Llama-3.1-8B-Instruct,22,42,15,-1.0,negative,200,200,0.61,0.81,-0.2
ER,ex30,meta-llama/Llama-3.1-8B-Instruct,32,42,15,-1.0,negative,200,200,0.63,0.88,-0.25
ER,canonical,meta-llama/Llama-3.1-8B-Instruct,12,42,15,1.0,positive,200,200,0.94,0.86,0.0799999999999999
ER,ex30,meta-llama/Llama-3.1-8B-Instruct,22,42,15,1.0,positive,200,200,0.885,0.81,0.0749999999999999
ER,ex30,meta-llama/Llama-3.1-8B-Instruct,32,42,15,1.0,positive,200,200,0.905,0.88,0.025
EX,canonical,meta-llama/Llama-3.1-8B-Instruct,12,42,15,-1.0,negative,200,200,0.04,0.15,-0.1099999999999999
EX,ex30,meta-llama/Llama-3.1-8B-Instruct,22,42,15,-1.0,negative,200,200,0.11,0.2,-0.09
EX,ex30,meta-llama/Llama-3.1-8B-Instruct,32,42,15,-1.0,negative,200,200,0.09,0.21,-0.12
EX,canonical,meta-llama/Llama-3.1-8B-Instruct,12,42,15,1.0,positive,200,200,0.72,0.15,0.57
EX,ex30,meta-llama/Llama-3.1-8B-Instruct,22,42,15,1.0,positive,200,200,0.65,0.2,0.45
EX,ex30,meta-llama/Llama-3.1-8B-Instruct,32,42,15,1.0,positive,200,200,0.63,0.21,0.42
IP,canonical,meta-llama/Llama-3.1-8B-Instruct,12,42,15,-1.0,negative,200,200,0.28,0.46,-0.18
IP,ex30,meta-llama/Llama-3.1-8B-Instruct,22,42,15,-1.0,negative,200,200,0.2,0.32,-0.12
IP,ex30,meta-llama/Llama-3.1-8B-Instruct,32,42,15,-1.0,negative,200,200,0.21,0.49,-0.28
IP,canonical,meta-llama/Llama-3.1-8B-Instruct,12,42,15,1.0,positive,200,200,0.78,0.46,0.32
IP,ex30,meta-llama/Llama-3.1-8B-Instruct,22,42,15,1.0,positive,200,200,0.73,0.32,0.41
IP,ex30,meta-llama/Llama-3.1-8B-Instruct,32,42,15,1.0,positive,200,200,0.81,0.49,0.32
