task,model_tag,alpha,n,judge_mean,count_0,count_1,count_2,pct_0,pct_1,pct_2,delta_vs_alpha0
ER,llama31,-1.0,200,1.45,24,62,114,12.0,31.0,56.99999999999999,-0.2199999999999999
ER,llama31,0.0,200,1.67,17,32,151,8.5,16.0,75.5,0.0
ER,llama31,1.0,200,1.805,9,21,170,4.5,10.5,85.0,0.135
ER,llama31,2.0,200,1.845,5,21,174,2.5,10.5,87.0,0.175
ER,mistral7b,-1.0,200,1.33,30,74,96,15.0,37.0,48.0,-0.27
ER,mistral7b,0.0,200,1.6,17,46,137,8.5,23.0,68.5,0.0
ER,mistral7b,1.0,200,1.825,6,23,171,3.0,11.5,85.5,0.2249999999999998
ER,mistral7b,2.0,200,1.915,1,15,184,0.5,7.5,92.0,0.3149999999999999
ER,qwen25,-1.0,200,1.465,22,63,115,11.0,31.5,57.49999999999999,-0.2249999999999998
ER,qwen25,0.0,200,1.69,11,40,149,5.5,20.0,74.5,0.0
ER,qwen25,1.0,200,1.825,6,23,171,3.0,11.5,85.5,0.135
ER,qwen25,2.0,200,1.89,3,16,181,1.5,8.0,90.5,0.1999999999999999
EX,llama31,-1.0,200,1.005,26,147,27,13.0,73.5,13.5,-0.145
EX,llama31,0.0,200,1.15,19,132,49,9.5,66.0,24.5,0.0
EX,llama31,1.0,200,1.42,12,92,96,6.0,46.0,48.0,0.27
EX,llama31,2.0,200,1.475,11,83,106,5.5,41.5,53.0,0.3250000000000002
EX,mistral7b,-1.0,200,0.92,27,162,11,13.5,81.0,5.5,0.02
EX,mistral7b,0.0,200,0.9,29,162,9,14.499999999999998,81.0,4.5,0.0
EX,mistral7b,1.0,200,0.975,18,169,13,9.0,84.5,6.5,0.0749999999999999
EX,mistral7b,2.0,200,1.085,11,161,28,5.5,80.5,14.000000000000002,0.1849999999999999
EX,qwen25,-1.0,200,0.94,26,160,14,13.0,80.0,7.000000000000001,-0.09
EX,qwen25,0.0,200,1.03,18,158,24,9.0,79.0,12.0,0.0
EX,qwen25,1.0,200,1.135,11,151,38,5.5,75.5,19.0,0.1049999999999999
EX,qwen25,2.0,200,1.265,5,137,58,2.5,68.5,29.0,0.2349999999999998
IP,llama31,-1.0,200,1.79,9,24,167,4.5,12.0,83.5,-0.0849999999999999
IP,llama31,0.0,200,1.875,3,19,178,1.5,9.5,89.0,0.0
IP,llama31,1.0,200,1.905,4,11,185,2.0,5.5,92.5,0.03
IP,llama31,2.0,200,1.94,2,8,190,1.0,4.0,95.0,0.0649999999999999
IP,mistral7b,-1.0,200,1.815,4,29,167,2.0,14.499999999999998,83.5,0.0649999999999999
IP,mistral7b,0.0,200,1.75,5,40,155,2.5,20.0,77.5,0.0
IP,mistral7b,1.0,200,1.835,2,29,169,1.0,14.499999999999998,84.5,0.0849999999999999
IP,mistral7b,2.0,200,1.9,3,14,183,1.5,7.000000000000001,91.5,0.1499999999999999
IP,qwen25,-1.0,200,1.78,2,40,158,1.0,20.0,79.0,0.0050000000000001
IP,qwen25,0.0,200,1.775,3,39,158,1.5,19.5,79.0,0.0
IP,qwen25,1.0,200,1.715,3,51,146,1.5,25.5,73.0,-0.0599999999999998
IP,qwen25,2.0,200,1.77,6,34,160,3.0,17.0,80.0,-0.0049999999999998
