mechanism,contrast,metric,estimate,ci_low,ci_high,bootstrap_iters
ER,same_support_unmatched,delta_ER,0.03,-0.04,0.1,10000
ER,same_support_unmatched,delta_EX,0.03,-0.07,0.13,10000
ER,same_support_unmatched,delta_IP,-0.13,-0.24,-0.02,10000
ER,same_support_unmatched,target_delta,0.03,-0.04,0.1,10000
ER,same_support_unmatched,off_target_burden,0.16,0.06,0.3,10000
ER,same_support_unmatched,selectivity,0.1874999999988281,0.0,0.874999999978125,10000
ER,controlled,delta_ER,0.065,0.005,0.125,10000
ER,controlled,delta_EX,0.04,-0.06,0.14,10000
ER,controlled,delta_IP,-0.08,-0.2,0.04,10000
ER,controlled,target_delta,0.065,0.005,0.125,10000
ER,controlled,off_target_burden,0.12,0.03,0.27,10000
ER,controlled,selectivity,0.5416666666621528,0.071428571427551,2.3749999999406253,10000
ER,controlled_minus_same_support_unmatched,delta_ER,0.035,-0.03,0.1,10000
ER,controlled_minus_same_support_unmatched,delta_EX,0.01,-0.09,0.11,10000
ER,controlled_minus_same_support_unmatched,delta_IP,0.05,-0.04,0.15,10000
ER,controlled_minus_same_support_unmatched,target_delta,0.035,-0.03,0.1,10000
ER,controlled_minus_same_support_unmatched,off_target_burden,-0.04,-0.16,0.09,10000
ER,controlled_minus_same_support_unmatched,selectivity,0.3541666666633247,-0.2777777777704434,2.0089583332979286,10000
EX,same_support_unmatched,delta_ER,-0.12,-0.2,-0.04,10000
EX,same_support_unmatched,delta_EX,0.68,0.54,0.83,10000
EX,same_support_unmatched,delta_IP,-0.11,-0.24,0.01,10000
EX,same_support_unmatched,target_delta,0.68,0.54,0.83,10000
EX,same_support_unmatched,off_target_burden,0.2299999999999999,0.095,0.375,10000
EX,same_support_unmatched,selectivity,2.956521739117581,1.7142857142812618,7.099999999928999,10000
EX,controlled,delta_ER,-0.05,-0.13,0.025,10000
EX,controlled,delta_EX,0.61,0.46,0.76,10000
EX,controlled,delta_IP,-0.11,-0.24,0.02,10000
EX,controlled,target_delta,0.61,0.46,0.76,10000
EX,controlled,off_target_burden,0.16,0.04,0.31,10000
EX,controlled,selectivity,3.812499999976172,1.859586466158919,15.335714285371006,10000
EX,controlled_minus_same_support_unmatched,delta_ER,0.0699999999999999,0.005,0.135,10000
EX,controlled_minus_same_support_unmatched,delta_EX,-0.07,-0.2299999999999999,0.09,10000
EX,controlled_minus_same_support_unmatched,delta_IP,0.0,-0.09,0.1,10000
EX,controlled_minus_same_support_unmatched,target_delta,-0.07,-0.2299999999999999,0.09,10000
EX,controlled_minus_same_support_unmatched,off_target_burden,-0.0699999999999999,-0.18,0.0499999999999999,10000
EX,controlled_minus_same_support_unmatched,selectivity,0.8559782608585906,-1.552511520710916,10.599733526838296,10000
IP,same_support_unmatched,delta_ER,-0.005,-0.08,0.07,10000
IP,same_support_unmatched,delta_EX,0.0,-0.1,0.1,10000
IP,same_support_unmatched,delta_IP,0.29,0.14,0.44,10000
IP,same_support_unmatched,target_delta,0.29,0.14,0.44,10000
IP,same_support_unmatched,off_target_burden,0.005,0.01,0.16,10000
IP,same_support_unmatched,selectivity,57.99999998839999,1.4166666666548613,25.999999997421668,10000
IP,controlled,delta_ER,0.015,-0.06,0.09,10000
IP,controlled,delta_EX,0.08,-0.02,0.18,10000
IP,controlled,delta_IP,0.27,0.13,0.41,10000
IP,controlled,target_delta,0.27,0.13,0.41,10000
IP,controlled,off_target_burden,0.095,0.025,0.23,10000
IP,controlled,selectivity,2.8421052631279777,0.8749999999945313,11.335714285337756,10000
IP,controlled_minus_same_support_unmatched,delta_ER,0.02,-0.045,0.0849999999999999,10000
IP,controlled_minus_same_support_unmatched,delta_EX,0.08,-0.0199999999999999,0.18,10000
IP,controlled_minus_same_support_unmatched,delta_IP,-0.0199999999999999,-0.17,0.13,10000
IP,controlled_minus_same_support_unmatched,target_delta,-0.0199999999999999,-0.17,0.13,10000
IP,controlled_minus_same_support_unmatched,off_target_burden,0.09,-0.085,0.1649999999999999,10000
IP,controlled_minus_same_support_unmatched,selectivity,-55.157894725272016,-22.667647057088885,7.301825396552789,10000
