model_key,model_name,steering_mechanism,scored_mechanism,layer,alpha,n,baseline_n,mean_level,baseline_mean_level,delta_vs_alpha0
llama31,meta-llama/Llama-3.1-8B-Instruct,ER,EX,15,-1.0,200,200,0.21,0.17,0.0399999999999999
llama31,meta-llama/Llama-3.1-8B-Instruct,ER,IP,15,-1.0,200,200,0.7,0.46,0.2399999999999999
llama31,meta-llama/Llama-3.1-8B-Instruct,ER,EX,15,1.0,200,200,0.18,0.17,0.0099999999999999
llama31,meta-llama/Llama-3.1-8B-Instruct,ER,IP,15,1.0,200,200,0.31,0.46,-0.15
llama31,meta-llama/Llama-3.1-8B-Instruct,EX,ER,15,-1.0,200,200,0.89,0.895,-0.005
llama31,meta-llama/Llama-3.1-8B-Instruct,EX,IP,15,-1.0,200,200,0.74,0.42,0.32
llama31,meta-llama/Llama-3.1-8B-Instruct,EX,ER,15,1.0,200,200,0.67,0.895,-0.2249999999999999
llama31,meta-llama/Llama-3.1-8B-Instruct,EX,IP,15,1.0,200,200,0.36,0.42,-0.06
llama31,meta-llama/Llama-3.1-8B-Instruct,IP,ER,15,-1.0,200,200,0.805,0.895,-0.0899999999999999
llama31,meta-llama/Llama-3.1-8B-Instruct,IP,EX,15,-1.0,200,200,0.25,0.15,0.1
llama31,meta-llama/Llama-3.1-8B-Instruct,IP,ER,15,1.0,200,200,0.84,0.895,-0.055
llama31,meta-llama/Llama-3.1-8B-Instruct,IP,EX,15,1.0,200,200,0.17,0.15,0.02
qwen25,Qwen/Qwen2.5-7B-Instruct,ER,EX,15,-1.0,200,200,0.26,0.33,-0.07
qwen25,Qwen/Qwen2.5-7B-Instruct,ER,IP,15,-1.0,200,200,0.16,0.18,-0.0199999999999999
qwen25,Qwen/Qwen2.5-7B-Instruct,ER,EX,15,1.0,200,200,0.445,0.33,0.1149999999999999
qwen25,Qwen/Qwen2.5-7B-Instruct,ER,IP,15,1.0,200,200,0.18,0.18,0.0
qwen25,Qwen/Qwen2.5-7B-Instruct,EX,ER,15,-1.0,200,200,1.0,1.155,-0.155
qwen25,Qwen/Qwen2.5-7B-Instruct,EX,IP,15,-1.0,200,200,0.2,0.18,0.02
qwen25,Qwen/Qwen2.5-7B-Instruct,EX,ER,15,1.0,200,200,1.14,1.155,-0.0150000000000001
qwen25,Qwen/Qwen2.5-7B-Instruct,EX,IP,15,1.0,200,200,0.16,0.18,-0.0199999999999999
qwen25,Qwen/Qwen2.5-7B-Instruct,IP,ER,15,-1.0,200,200,1.165,1.18,-0.0149999999999999
qwen25,Qwen/Qwen2.5-7B-Instruct,IP,EX,15,-1.0,200,200,0.4,0.35,0.05
qwen25,Qwen/Qwen2.5-7B-Instruct,IP,ER,15,1.0,200,200,1.075,1.18,-0.1049999999999999
qwen25,Qwen/Qwen2.5-7B-Instruct,IP,EX,15,1.0,200,200,0.44,0.35,0.09
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,ER,EX,15,-1.0,200,200,0.04,0.02,0.02
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,ER,IP,15,-1.0,200,200,0.39,0.28,0.1099999999999999
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,ER,EX,15,1.0,200,200,0.01,0.02,-0.01
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,ER,IP,15,1.0,200,200,0.2,0.28,-0.08
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,EX,ER,15,-1.0,200,200,1.005,1.005,0.0
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,EX,IP,15,-1.0,200,200,0.51,0.25,0.26
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,EX,ER,15,1.0,200,200,0.965,1.005,-0.0399999999999999
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,EX,IP,15,1.0,200,200,0.14,0.25,-0.1099999999999999
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,IP,ER,15,-1.0,200,200,1.06,1.075,-0.0149999999999999
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,IP,EX,15,-1.0,200,200,0.02,0.06,-0.0399999999999999
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,IP,ER,15,1.0,200,200,1.1,1.075,0.0250000000000001
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,IP,EX,15,1.0,200,200,0.05,0.06,-0.0099999999999999
