analysis_type,experiment,model_scope,comparison,metric,n_pairs,bootstrap_iters,raw_mean,raw_std,raw_ci_low_95,raw_ci_high_95,raw_p_two_sided_vs0,raw_ci_excludes_zero,controlled_mean,controlled_std,controlled_ci_low_95,controlled_ci_high_95,controlled_p_two_sided_vs0,controlled_ci_excludes_zero
prompt,ex25,all_models,P1_vs_P0,ER_label,600,1000,0.280605,0.0257782454286909,0.2283333333333333,0.3316666666666666,0.0,True,0.2805738507268243,0.0261835597867214,0.2295075320128194,0.3305543467492784,0.0,True
prompt,ex25,all_models,P1_vs_P0,EX_label,600,1000,-0.0296366666666666,0.0159457423794995,-0.0633333333333333,0.0033333333333333,0.088,False,0.0087893085815836,0.0169816542961398,-0.0245185654228632,0.0425242478527085,0.574,False
prompt,ex25,all_models,P1_vs_P0,IP_label,600,1000,0.24443,0.0389125852300934,0.17,0.3133333333333333,0.0,True,0.2079634365478689,0.040436759461039,0.1306919545179616,0.2829864102334208,0.0,True
prompt,ex25,all_models,P2_vs_P0,ER_label,600,1000,0.2556083333333333,0.0268713871329048,0.205,0.3066666666666666,0.0,True,0.2357511019434267,0.0282782180344699,0.1776048352256765,0.2885808907587346,0.0,True
prompt,ex25,all_models,P2_vs_P0,EX_label,600,1000,-0.0231266666666666,0.0164703675229083,-0.0566666666666666,0.0066666666666666,0.17,False,0.0066706560654785,0.0165261003115605,-0.0279960196212032,0.0374282489306915,0.666,False
prompt,ex25,all_models,P2_vs_P0,IP_label,600,1000,0.1059099999999999,0.0363599986944528,0.0366666666666666,0.1766666666666666,0.01,True,0.0662913528003946,0.0373867078650105,-0.0013791316714267,0.1379831107909442,0.056,False
prompt,ex25,all_models,P3_vs_P0,ER_label,600,1000,-0.176225,0.0253558137769682,-0.225,-0.1266666666666666,0.0,True,-0.0387481713222878,0.0475514558299943,-0.12872063263802,0.0566884329593302,0.406,False
prompt,ex25,all_models,P3_vs_P0,EX_label,600,1000,1.4248133333333333,0.037690658541565,1.35,1.5,0.0,True,0.4767738258037732,0.0718049148898886,0.334743191295179,0.6085008860698335,0.0,True
prompt,ex25,all_models,P3_vs_P0,IP_label,600,1000,0.0178266666666666,0.0324910083127121,-0.0433333333333333,0.08,0.628,False,0.1208733374045966,0.0610368310684517,0.004782195804932,0.2429566675292924,0.044,True
prompt,ex25,llama31,P1_vs_P0,ER_label,200,1000,0.29916,0.0431445924288995,0.215,0.38,0.0,True,0.2516051640440728,0.0424600842467057,0.1710918813989494,0.3325925022161674,0.0,True
prompt,ex25,llama31,P1_vs_P0,EX_label,200,1000,-0.07114,0.0418766528516075,-0.16,0.01,0.112,False,0.0386879198811694,0.0383491499850846,-0.0373521874706651,0.1116560679649501,0.318,False
prompt,ex25,llama31,P1_vs_P0,IP_label,200,1000,0.13826,0.081787906573415,-0.0202499999999999,0.3,0.108,False,0.0743384507233568,0.0889269284835354,-0.1074711958902911,0.2520868298412977,0.41,False
prompt,ex25,llama31,P2_vs_P0,ER_label,200,1000,0.450045,0.044473597514434,0.36,0.535,0.0,True,0.3948968946932001,0.0458950116460172,0.3090435119601838,0.4832432911934612,0.0,True
prompt,ex25,llama31,P2_vs_P0,EX_label,200,1000,-0.06891,0.0388744533482224,-0.15,0.01,0.082,False,0.0439409830303351,0.040259927805714,-0.0379135331034182,0.1235451813177541,0.264,False
prompt,ex25,llama31,P2_vs_P0,IP_label,200,1000,-0.08793,0.0708394899285231,-0.24,0.05,0.232,False,-0.1632078534579292,0.0770201694097158,-0.3182732972548625,-0.0188362633132357,0.03,True
prompt,ex25,llama31,P3_vs_P0,ER_label,200,1000,0.072355,0.0400203773796,0.0,0.155,0.072,False,0.1536504307293026,0.0580325587722014,0.0416947238964775,0.2740788907664753,0.01,True
prompt,ex25,llama31,P3_vs_P0,EX_label,200,1000,1.10013,0.0756875928518783,0.95,1.25,0.0,True,0.3741413225080684,0.1075038211711114,0.1670330123543329,0.5829137227605927,0.0,True
prompt,ex25,llama31,P3_vs_P0,IP_label,200,1000,-0.0221099999999999,0.0779546331196858,-0.17,0.13,0.844,False,0.0955063473949941,0.1012144646450889,-0.1014795630916568,0.2970286131900012,0.352,False
prompt,ex25,mistral7b,P1_vs_P0,ER_label,200,1000,0.320715,0.044859515725776,0.23,0.41,0.0,True,0.3391498500139908,0.0444522434270848,0.2518446640286647,0.4282326230598052,0.0,True
prompt,ex25,mistral7b,P1_vs_P0,EX_label,200,1000,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,1.0,False
prompt,ex25,mistral7b,P1_vs_P0,IP_label,200,1000,0.13918,0.0438252010634092,0.06,0.23,0.0,True,0.1264677909420184,0.0440074213514314,0.0462648219001846,0.2154421053182958,0.002,True
prompt,ex25,mistral7b,P2_vs_P0,ER_label,200,1000,0.1293899999999999,0.0476927929828239,0.04,0.22,0.006,True,0.1417416116096636,0.0503917303491365,0.0486216286726522,0.2369715909863527,0.008,True
prompt,ex25,mistral7b,P2_vs_P0,EX_label,200,1000,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,1.0,False
prompt,ex25,mistral7b,P2_vs_P0,IP_label,200,1000,0.12886,0.0439002007697872,0.05,0.2202499999999997,0.004,True,0.1103062229857601,0.0433741606805122,0.0299766021863353,0.1988870472462214,0.006,True
prompt,ex25,mistral7b,P3_vs_P0,ER_label,200,1000,-0.135675,0.0391407891639447,-0.21,-0.0548750000000001,0.0,True,-0.0391512466261055,0.0946247803795239,-0.2258838932439436,0.1433309392542194,0.668,False
prompt,ex25,mistral7b,P3_vs_P0,EX_label,200,1000,1.50971,0.0630046465388505,1.39,1.63,0.0,True,0.5621089698230024,0.1217118382485908,0.3361951135286651,0.8138053873961436,0.0,True
prompt,ex25,mistral7b,P3_vs_P0,IP_label,200,1000,0.09909,0.0437605631463637,0.02,0.1802499999999997,0.024,True,0.1077641437577545,0.0815307145762512,-0.0493638567685683,0.2770695239788591,0.158,False
prompt,ex25,qwen25,P1_vs_P0,ER_label,200,1000,0.217805,0.045518445754484,0.13,0.305,0.0,True,0.2390136355984172,0.0492601048989739,0.1379325644097839,0.3369446927695067,0.0,True
prompt,ex25,qwen25,P1_vs_P0,EX_label,200,1000,-0.0201499999999999,0.0257592903831033,-0.07,0.03,0.536,False,-0.015008541189455,0.0321018945680871,-0.078655647953659,0.0459971225677223,0.656,False
prompt,ex25,qwen25,P1_vs_P0,IP_label,200,1000,0.4518999999999999,0.0680177654470978,0.32,0.6002499999999997,0.0,True,0.4032097976963055,0.0769716056597058,0.2541926567242649,0.5619516444553387,0.0,True
prompt,ex25,qwen25,P2_vs_P0,ER_label,200,1000,0.1880899999999999,0.0451967326766509,0.1,0.28,0.0,True,0.1706185986074821,0.0476693230409494,0.0794590867502508,0.2658051676067099,0.0,True
prompt,ex25,qwen25,P2_vs_P0,EX_label,200,1000,-0.0008,0.0287399719204105,-0.06,0.06,1.0,False,-0.0166471011385163,0.0280637997921543,-0.0761507906274738,0.0353765656610687,0.534,False
prompt,ex25,qwen25,P2_vs_P0,IP_label,200,1000,0.27784,0.0655395287580695,0.15,0.41,0.0,True,0.2290105579090828,0.0676700677197895,0.1019084412126761,0.3628399822247857,0.002,True
prompt,ex25,qwen25,P3_vs_P0,ER_label,200,1000,-0.471005,0.0447841556311559,-0.555,-0.385,0.0,True,-0.4519198810616266,0.1559948408826111,-0.7714127055675918,-0.1583278855873736,0.0,True
prompt,ex25,qwen25,P3_vs_P0,EX_label,200,1000,1.66083,0.0521529580276232,1.56,1.76,0.0,True,0.3883886150177247,0.2088537454411141,-0.0245790770704917,0.8038639607377558,0.054,False
prompt,ex25,qwen25,P3_vs_P0,IP_label,200,1000,-0.03296,0.0505172286491489,-0.14,0.06,0.558,False,0.0697359250099647,0.1488500398187302,-0.2245071293173258,0.3400802129315596,0.62,False
steering,ex11,all_models,alpha=+1_vs_alpha=+0,ER_label,600,1000,0.0997466666666666,0.0205374142818755,0.0583333333333333,0.1383333333333333,0.0,True,0.1024902060888705,0.0211379922712314,0.0612017969863714,0.1449197445316556,0.0,True
steering,ex11,all_models,alpha=+1_vs_alpha=+0,EX_label,600,1000,0.0383883333333333,0.027139304526526,-0.0133333333333333,0.0917083333333333,0.172,False,0.0310584094482962,0.0247316735392816,-0.0218200107958687,0.077631719897076,0.226,False
steering,ex11,all_models,alpha=+1_vs_alpha=+0,IP_label,600,1000,-0.0759633333333333,0.0330549737080881,-0.1400833333333333,-0.0133333333333333,0.014,True,-0.066426756545756,0.0329024195761379,-0.1313863060164534,-0.0028024617251653,0.044,True
steering,ex11,llama31,alpha=+1_vs_alpha=+0,ER_label,200,1000,0.082305,0.0357006514157866,0.014875,0.155,0.03,True,0.0961917104838706,0.0374749517088926,0.0241279097352369,0.1735730346041393,0.012,True
steering,ex11,llama31,alpha=+1_vs_alpha=+0,EX_label,200,1000,0.00815,0.0565355974035277,-0.11,0.11,0.932,False,0.0216917107109651,0.0494934467622518,-0.0811368294253512,0.1135284495499066,0.64,False
steering,ex11,llama31,alpha=+1_vs_alpha=+0,IP_label,200,1000,-0.1498799999999999,0.0628644377811297,-0.27025,-0.03,0.024,True,-0.1239832452714952,0.0641244073570761,-0.2518877788931634,0.003127853911595,0.054,False
steering,ex11,mistral7b,alpha=+1_vs_alpha=+0,ER_label,200,1000,0.11754,0.0345426054545917,0.055,0.185,0.0,True,0.1065264656791996,0.0370486808964941,0.0341046714535988,0.1769599355437439,0.0,True
steering,ex11,mistral7b,alpha=+1_vs_alpha=+0,EX_label,200,1000,-0.0102899999999999,0.0103500252667818,-0.04,0.0,0.72,False,-0.0034816363167407,0.014252760408053,-0.0324736987406048,0.0241025446794687,0.946,False
steering,ex11,mistral7b,alpha=+1_vs_alpha=+0,IP_label,200,1000,-0.07817,0.0491443411418473,-0.18,0.01,0.106,False,-0.0604610869090854,0.0509376369694599,-0.1618800889233482,0.0342053096643279,0.226,False
steering,ex11,qwen25,alpha=+1_vs_alpha=+0,ER_label,200,1000,0.10002,0.034517982141068,0.03,0.17,0.004,True,0.0778167509458002,0.0365064315959153,0.0090283739299103,0.1478730591004778,0.022,True
steering,ex11,qwen25,alpha=+1_vs_alpha=+0,EX_label,200,1000,0.115265,0.0581277352785106,0.005,0.23,0.048,True,0.0508935289256672,0.0570629397678144,-0.0585256061250078,0.1602524591027621,0.374,False
steering,ex11,qwen25,alpha=+1_vs_alpha=+0,IP_label,200,1000,0.0010099999999999,0.0534727897087784,-0.1,0.11,1.0,False,-0.0071228865991605,0.0530911038976508,-0.1091744574110129,0.0990521365104334,0.904,False
steering,ex12,all_models,alpha=+1_vs_alpha=+0,ER_label,600,1000,-0.0932416666666666,0.0205800908005669,-0.1317083333333333,-0.0533333333333333,0.0,True,-0.1429077707213912,0.0250605033481551,-0.1902243244565905,-0.0956391001792476,0.0,True
steering,ex12,all_models,alpha=+1_vs_alpha=+0,EX_label,600,1000,0.2482333333333333,0.0348527735903191,0.18325,0.3233333333333333,0.0,True,-0.0043610951502022,0.0338700314023323,-0.0756035225647426,0.0657496951588024,0.916,False
steering,ex12,all_models,alpha=+1_vs_alpha=+0,IP_label,600,1000,-0.0634766666666666,0.0317058747841652,-0.1266666666666666,0.0,0.062,False,-0.0882065501838293,0.0344679809930701,-0.1561736160734905,-0.0177360165972977,0.006,True
steering,ex12,llama31,alpha=+1_vs_alpha=+0,ER_label,200,1000,-0.225135,0.0374901625401556,-0.3,-0.15,0.0,True,-0.2632744910162412,0.0538281924631878,-0.3753292540052313,-0.1549864746187345,0.0,True
steering,ex12,llama31,alpha=+1_vs_alpha=+0,EX_label,200,1000,0.56683,0.0762526430070825,0.42,0.71,0.0,True,0.0838967851554573,0.0847137696908303,-0.0880956060785164,0.2538255816981201,0.314,False
steering,ex12,llama31,alpha=+1_vs_alpha=+0,IP_label,200,1000,-0.06325,0.0609495886151198,-0.18,0.05,0.336,False,-0.0604336671631063,0.0716807382350956,-0.1942080416905563,0.0867096306756818,0.382,False
steering,ex12,mistral7b,alpha=+1_vs_alpha=+0,ER_label,200,1000,-0.038745,0.0334472524087359,-0.105,0.03,0.264,False,-0.0708891334321754,0.0404128794223983,-0.1499731537302877,0.008501368171908,0.078,False
steering,ex12,mistral7b,alpha=+1_vs_alpha=+0,EX_label,200,1000,0.04918,0.0275515278466855,0.0,0.11,0.088,False,0.0350160245939343,0.0235566603762504,-0.0079088340043753,0.0838917520747525,0.128,False
steering,ex12,mistral7b,alpha=+1_vs_alpha=+0,IP_label,200,1000,-0.1092,0.0475838651669263,-0.2,-0.02,0.022,True,-0.1297856230101004,0.0519544801937769,-0.2314515207612166,-0.0305751905935188,0.012,True
steering,ex12,qwen25,alpha=+1_vs_alpha=+0,ER_label,200,1000,-0.01563,0.0370577438111979,-0.085,0.06,0.702,False,-0.1196194854967257,0.046913728365087,-0.2084529079513893,-0.028733519276736,0.012,True
steering,ex12,qwen25,alpha=+1_vs_alpha=+0,EX_label,200,1000,0.11724,0.0659373197069014,-0.01,0.25,0.076,False,-0.0945823912705256,0.0648064955566434,-0.2190724453489769,0.0307289072183557,0.14,False
steering,ex12,qwen25,alpha=+1_vs_alpha=+0,IP_label,200,1000,-0.01948,0.0519733665527915,-0.12,0.08,0.796,False,-0.0483885458832932,0.0586919634488804,-0.1647219734381653,0.0646197743399022,0.422,False
steering,ex13,all_models,alpha=+1_vs_alpha=+0,ER_label,600,1000,-0.0444216666666666,0.0238821131881232,-0.088375,0.0017499999999999,0.08,False,-0.0511499623301834,0.0241650474277726,-0.0968553021558921,-0.0041465190084273,0.044,True
steering,ex13,all_models,alpha=+1_vs_alpha=+0,EX_label,600,1000,0.03325,0.0292174233034187,-0.0266666666666666,0.09,0.258,False,0.0158889130092654,0.0261839997160973,-0.0361084072071791,0.0689391059603753,0.522,False
steering,ex13,all_models,alpha=+1_vs_alpha=+0,IP_label,600,1000,0.2779266666666666,0.0357544356487058,0.2066666666666666,0.3466666666666667,0.0,True,0.2710627872097364,0.0357468921289346,0.1970791964822913,0.3401764828594357,0.0,True
steering,ex13,llama31,alpha=+1_vs_alpha=+0,ER_label,200,1000,-0.0542,0.043426902904719,-0.14,0.03,0.232,False,-0.0570239855879091,0.0442481701261444,-0.1448513589288115,0.0303149207845697,0.198,False
steering,ex13,llama31,alpha=+1_vs_alpha=+0,EX_label,200,1000,0.0219299999999999,0.0463305689758028,-0.07,0.11,0.722,False,0.027228441466451,0.0437729933084771,-0.0534653438440888,0.1104701000017031,0.564,False
steering,ex13,llama31,alpha=+1_vs_alpha=+0,IP_label,200,1000,0.31992,0.0701877476481466,0.18,0.45,0.0,True,0.3003405614372081,0.0712640046360323,0.1508430344532701,0.431315594857803,0.0,True
steering,ex13,mistral7b,alpha=+1_vs_alpha=+0,ER_label,200,1000,0.02483,0.0421526742680455,-0.06,0.11,0.598,False,0.023795745512507,0.0429046730758781,-0.0618494027682827,0.1084736366505453,0.58,False
steering,ex13,mistral7b,alpha=+1_vs_alpha=+0,EX_label,200,1000,-0.00817,0.02920623399386,-0.0602499999999999,0.05,0.944,False,-0.0150938537167629,0.0299506342032878,-0.0723640393806314,0.0459149306291303,0.62,False
