model,steering_mechanism,layer,alpha,n,ER_mean,ER_pct_0,ER_pct_1,ER_pct_2,delta_vs_unsteered,delta_vs_alpha0,EX_mean,EX_pct_0,EX_pct_1,EX_pct_2,IP_mean,IP_pct_0,IP_pct_1,IP_pct_2
llama31,ER,3,-1.0,200,0.835,0.24,0.685,0.075,-0.025,-0.025,,,,,,,,
llama31,ER,3,0.0,200,0.86,0.22,0.7,0.08,0.0,0.0,,,,,,,,
llama31,ER,3,1.0,200,0.86,0.235,0.67,0.095,0.0,0.0,,,,,,,,
llama31,ER,3,2.0,200,0.895,0.185,0.735,0.08,0.035,0.035,,,,,,,,
llama31,ER,7,-1.0,200,0.79,0.305,0.6,0.095,-0.0699999999999999,-0.0699999999999999,,,,,,,,
llama31,ER,7,0.0,200,0.86,0.22,0.7,0.08,0.0,0.0,,,,,,,,
llama31,ER,7,1.0,200,0.885,0.185,0.745,0.07,0.025,0.025,,,,,,,,
llama31,ER,7,2.0,200,0.945,0.155,0.745,0.1,0.0849999999999999,0.0849999999999999,,,,,,,,
llama31,ER,11,-1.0,200,0.755,0.33,0.585,0.085,-0.1049999999999999,-0.1049999999999999,,,,,,,,
llama31,ER,11,0.0,200,0.86,0.22,0.7,0.08,0.0,0.0,,,,,,,,
llama31,ER,11,1.0,200,0.855,0.215,0.715,0.07,-0.005,-0.005,,,,,,,,
llama31,ER,11,2.0,200,0.925,0.125,0.825,0.05,0.065,0.065,,,,,,,,
llama31,ER,15,-1.0,200,0.645,0.4,0.555,0.045,-0.2149999999999999,-0.2149999999999999,,,,,,,,
llama31,ER,15,0.0,200,0.86,0.22,0.7,0.08,0.0,0.0,,,,,,,,
llama31,ER,15,1.0,200,0.94,0.13,0.8,0.07,0.0799999999999999,0.0799999999999999,,,,,,,,
llama31,ER,15,2.0,200,0.925,0.09,0.895,0.015,0.065,0.065,,,,,,,,
llama31,ER,19,-1.0,200,0.69,0.36,0.59,0.05,-0.17,-0.17,,,,,,,,
llama31,ER,19,0.0,200,0.86,0.22,0.7,0.08,0.0,0.0,,,,,,,,
