model,alpha,n,ER_mean,IP_mean,EX_mean,ER_pct_0,ER_pct_1,ER_pct_2,delta_vs_alpha0
llama31,-1.0,200,0.665,0.71,0.71,0.475,0.385,0.14,-0.25
llama31,0.0,200,0.915,0.25,0.74,0.29,0.505,0.205,0.0
llama31,1.0,200,0.935,0.16,0.86,0.26,0.545,0.195,0.02
llama31,2.0,200,1.03,0.06,0.97,0.135,0.7,0.165,0.1149999999999999
qwen25,-1.0,200,0.75,0.21,0.87,0.45,0.35,0.2,-0.29
qwen25,0.0,200,1.04,0.18,0.75,0.235,0.49,0.275,0.0
qwen25,1.0,200,1.335,0.15,0.87,0.075,0.515,0.41,0.2949999999999999
qwen25,2.0,200,1.405,0.09,0.98,0.035,0.525,0.44,0.365
mistral7b,-1.0,200,0.495,0.33,0.11,0.565,0.375,0.06,-0.295
mistral7b,0.0,200,0.79,0.18,0.16,0.37,0.47,0.16,0.0
mistral7b,1.0,200,1.05,0.06,0.2,0.205,0.54,0.255,0.26
mistral7b,2.0,200,1.185,0.04,0.135,0.08,0.655,0.265,0.395
