model,persona,n,ER_mean,IP_mean,EX_mean,ER_pct_0,ER_pct_1,ER_pct_2,IP_pct_0,IP_pct_1,IP_pct_2,EX_pct_0,EX_pct_1,EX_pct_2,act_l2_mean,proj_er_mean,proj_ex_mean,proj_ip_mean,delta_ER_vs_baseline,delta_IP_vs_baseline,delta_EX_vs_baseline,delta_proj_er_mean_vs_baseline,delta_proj_ex_mean_vs_baseline,delta_proj_ip_mean_vs_baseline,delta_act_l2_mean_vs_baseline,baseline_persona
llama31,empathetic person,200,1.265,0.46,0.02,1.5,70.5,28.000000000000004,77.0,0.0,23.0,99.0,0.0,1.0,11.041875,0.0792805596291575,-0.0527811279130132,0.0026963838332897,0.1749999999999998,-0.2499999999999999,-0.11,0.0128978109361445,0.0058425056973191,-0.0133729574046973,0.0728124999999995,person
llama31,female,200,1.12,0.78,0.08,8.5,71.0,20.5,61.0,0.0,39.0,96.0,0.0,4.0,10.9275,0.073672140136234,-0.0567615306680554,0.0097280469319949,0.03,0.07,-0.05,0.0072893914432211,0.001862102942277,-0.006341294305992,-0.0415624999999995,person
llama31,Democratic supporter,200,1.11,0.47,0.12,10.0,69.0,21.0,76.5,0.0,23.5,94.0,0.0,6.0,10.931875,0.0981577878061529,-0.0481670666918944,-0.0111660509211253,0.02,-0.24,-0.01,0.03177503911314,0.0104565669184379,-0.0272353921591124,-0.0371874999999999,person
llama31,person,200,1.09,0.71,0.13,11.0,69.0,20.0,64.5,0.0,35.5,93.5,0.0,6.5,10.9690625,0.0663827486930129,-0.0586236336103324,0.016069341237987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,person
llama31,Republican supporter,200,1.055,0.36,0.16,13.5,67.5,19.0,82.0,0.0,18.0,92.0,0.0,8.0,10.81625,0.0887525799653441,-0.0389250598424779,-0.0157157547217956,-0.0350000000000001,-0.35,0.03,0.0223698312723312,0.0196985737678544,-0.0317850959597826,-0.1528124999999995,person
llama31,white person,200,1.05,0.66,0.22,14.499999999999998,66.0,19.5,67.0,0.0,33.0,89.0,0.0,11.0,10.8553125,0.0821299479336721,-0.040703809324458,-0.0026130631858555,-0.04,-0.0499999999999999,0.09,0.0157471992406592,0.0179198242858743,-0.0186824044238425,-0.1137499999999995,person
llama31,male,200,1.02,0.73,0.16,13.0,72.0,15.0,63.5,0.0,36.5,92.0,0.0,8.0,10.90875,0.0678777830293259,-0.0571773504413385,0.013775002227737,-0.07,0.02,0.03,0.001495034336313,0.0014462831689938,-0.0022943390102499,-0.0603125000000002,person
llama31,psychotherapist,200,1.01,0.44,0.12,14.499999999999998,70.0,15.5,78.0,0.0,22.0,94.0,0.0,6.0,11.0421875,0.0574930743794184,-0.0428949479199824,-0.0128697121731294,-0.08,-0.2699999999999999,-0.01,-0.0088896743135945,0.0157286856903499,-0.0289390534111165,0.073125000000001,person
llama31,black person,200,0.985,1.19,0.13,7.5,86.5,6.0,40.5,0.0,59.5,93.5,0.0,6.5,10.879375,0.0769462551995612,-0.0682946930628489,0.0229852200126001,-0.1050000000000001,0.48,0.0,0.0105635065065483,-0.0096710594525165,0.006915878774613,-0.0896875000000001,person
llama31,engineer,200,0.915,0.92,0.13,22.0,64.5,13.5,54.0,0.0,46.0,93.5,0.0,6.5,10.9471875,0.0691750728301131,-0.0481631002768456,-0.0078347691972439,-0.175,0.21,0.0,0.0027923241371002,0.0104605333334868,-0.023904110435231,-0.0218749999999996,person
llama31,cynical person,200,0.54,0.38,0.19,46.5,53.0,0.5,81.0,0.0,19.0,90.5,0.0,9.5,10.99,0.0117363009740921,-0.0879907330516856,0.0408717761316985,-0.55,-0.3299999999999999,0.06,-0.0546464477189207,-0.0293670994413531,0.0248024348937114,0.0209375000000004,person
qwen25,empathetic person,200,1.545,0.41,0.01,0.5,44.5,55.00000000000001,79.5,0.0,20.5,99.5,0.0,0.5,71.385,-0.0185473437070249,0.1329412130735663,-0.0227749915797162,0.0949999999999999,0.1699999999999999,-0.04,-0.0072363606932703,-0.016772046065003,0.0155408132795678,-0.7724999999999937,person
qwen25,person,200,1.45,0.24,0.05,8.0,39.0,53.0,88.0,0.0,12.0,97.5,0.0,2.5,72.1575,-0.0113109830137545,0.1497132591385694,-0.0383158048592841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,person
qwen25,psychotherapist,200,1.415,0.44,0.04,1.0,56.49999999999999,42.5,78.0,0.0,22.0,98.0,0.0,2.0,71.8,-0.0362572926888595,0.1516878796891453,-0.0335123243230187,-0.0349999999999999,0.2,-0.01,-0.024946309675105,0.0019746205505759,0.0048034805362654,-0.3575000000000017,person
qwen25,female,200,1.395,0.25,0.04,6.0,48.5,45.5,87.5,0.0,12.5,98.0,0.0,2.0,71.8875,-0.0138201875113818,0.1475371538037941,-0.0367632250330228,-0.0549999999999999,0.01,-0.01,-0.0025092044976272,-0.0021761053347752,0.0015525798262612,-0.269999999999996,person
qwen25,black person,200,1.35,0.18,0.04,6.0,53.0,41.0,91.0,0.0,9.0,98.0,0.0,2.0,71.285,-0.0036437528140806,0.1487953362111287,-0.0394487729556171,-0.0999999999999998,-0.06,-0.01,0.0076672301996738,-0.0009179229274406,-0.001132968096333,-0.8725000000000023,person
qwen25,white person,200,1.34,0.2,0.05,5.5,55.00000000000001,39.5,90.0,0.0,10.0,97.5,0.0,2.5,71.3675,-0.0086803548579848,0.150804270603786,-0.0390366584809519,-0.1099999999999998,-0.0399999999999999,0.0,0.0026306281557696,0.0010910114652166,-0.0007208536216678,-0.789999999999992,person
qwen25,Democratic supporter,200,1.275,0.27,0.02,7.5,57.49999999999999,35.0,86.5,0.0,13.5,99.0,0.0,1.0,71.395,-0.0158481876030584,0.1444040134692853,-0.0333897953387735,-0.175,0.03,-0.03,-0.0045372045893038,-0.005309245669284,0.0049260095205106,-0.7625000000000028,person
qwen25,engineer,200,1.18,0.15,0.02,14.000000000000002,54.0,32.0,92.5,0.0,7.5,99.0,0.0,1.0,72.3925,-0.0167488818756377,0.1537498988765019,-0.043692491776025,-0.27,-0.09,-0.03,-0.0054378988618832,0.0040366397379325,-0.0053766869167408,0.2349999999999994,person
qwen25,male,200,1.17,0.18,0.06,9.0,65.0,26.0,91.0,0.0,9.0,97.0,0.0,3.0,72.09,-0.017226155032378,0.1504291759008734,-0.0391337307128726,-0.28,-0.06,0.0099999999999999,-0.0059151720186235,0.000715916762304,-0.0008179258535885,-0.0674999999999954,person
qwen25,Republican supporter,200,1.16,0.14,0.05,8.5,67.0,24.5,93.0,0.0,7.000000000000001,97.5,0.0,2.5,71.2825,-0.0152446824103071,0.1457176726313852,-0.0354231572499707,-0.29,-0.0999999999999999,0.0,-0.0039336993965525,-0.0039955865071841,0.0028926476093134,-0.875,person
qwen25,cynical person,200,0.715,0.3,0.04,32.5,63.5,4.0,85.0,0.0,15.0,98.0,0.0,2.0,69.6625,-0.0466364131818024,0.109042470858111,0.0008027068384261,-0.735,0.06,-0.01,-0.0353254301680478,-0.0406707882804583,0.0391185116977102,-2.4950000000000045,person
mistral7b,empathetic person,200,1.705,0.14,0.0,2.5,24.5,73.0,93.0,0.0,7.000000000000001,100.0,0.0,0.0,5.0490625,0.1669126028386896,0.0432887422005374,-0.0881307348929765,0.155,0.05,-0.02,0.0083342012942053,0.0005447771304933,-0.0021931460526444,-0.0071875000000005,person
mistral7b,person,200,1.55,0.09,0.02,8.0,29.0,63.0,95.5,0.0,4.5,99.0,0.0,1.0,5.05625,0.1585784015444843,0.042743965070044,-0.0859375888403321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,person
mistral7b,female,200,1.52,0.13,0.01,7.5,33.0,59.5,93.5,0.0,6.5,99.5,0.0,0.5,5.04203125,0.1569648679379069,0.045433590092374,-0.0915840131820591,-0.03,0.04,-0.01,-0.0016135336065773,0.0026896250223299,-0.0056464243417269,-0.0142187500000003,person
mistral7b,Democratic supporter,200,1.505,0.06,0.01,10.0,29.5,60.5,97.0,0.0,3.0,99.5,0.0,0.5,5.05078125,0.1607056519914534,0.0416899911435809,-0.0884414001306879,-0.0450000000000001,-0.03,-0.01,0.0021272504469691,-0.0010539739264631,-0.0025038112903558,-0.0054687500000003,person
mistral7b,psychotherapist,200,1.43,0.13,0.0,15.5,26.0,58.5,93.5,0.0,6.5,100.0,0.0,0.0,5.0715625,0.1380294470193646,0.0499053588867477,-0.0920033992391608,-0.1200000000000001,0.04,-0.02,-0.0205489545251196,0.0071613938167036,-0.0060658103988287,0.0153124999999993,person
