layer,alpha,original_ER_mean,original_delta_vs_alpha0,residual_ER_mean,residual_delta_vs_alpha0,task,original_EX_mean,residual_EX_mean,original_IP_mean,residual_IP_mean
15,-1.0,0.645,-0.2149999999999999,0.63,-0.2299999999999999,ER,,,,
15,0.0,0.86,0.0,0.86,0.0,ER,,,,
15,1.0,0.94,0.0799999999999999,0.965,0.1049999999999999,ER,,,,
15,2.0,0.925,0.065,0.93,0.07,ER,,,,
15,-1.0,,-0.1099999999999999,,-0.0699999999999999,EX,0.04,0.08,,
15,0.0,,0.0,,0.0,EX,0.15,0.15,,
15,1.0,,0.57,,0.48,EX,0.72,0.63,,
15,2.0,,0.93,,1.16,EX,1.08,1.31,,
15,-1.0,,-0.18,,-0.11,IP,,,0.28,0.35
15,0.0,,0.0,,0.0,IP,,,0.46,0.46
15,1.0,,0.32,,0.1599999999999999,IP,,,0.78,0.62
15,2.0,,1.08,,0.74,IP,,,1.54,1.2
