model,layer,condition,pair,vector_a,vector_b,cosine,norm_a,norm_b
llama31,15,original,ER_vs_EX,ER,EX,0.0780834813063918,2.5389626026153564,3.016292095184326
llama31,15,original,ER_vs_IP,ER,IP,-0.2933997126550794,2.5389626026153564,1.9739716053009035
llama31,15,original,EX_vs_IP,EX,IP,-0.4484502285561645,3.016292095184326,1.9739716053009035
qwen25,15,original,ER_vs_EX,ER,EX,0.1261113323598837,14.874213218688965,16.836557388305664
qwen25,15,original,ER_vs_IP,ER,IP,-0.3218574126343909,14.874213218688965,11.51336669921875
qwen25,15,original,EX_vs_IP,EX,IP,-0.4625089672278388,16.836557388305664,11.51336669921875
mistral7b,15,original,ER_vs_EX,ER,EX,0.09147597234535,1.481564998626709,1.6486964225769043
mistral7b,15,original,ER_vs_IP,ER,IP,-0.2483067163170713,1.481564998626709,1.2092230319976809
mistral7b,15,original,EX_vs_IP,EX,IP,-0.5332443945805483,1.6486964225769043,1.2092230319976809
llama31,15,residualized,ER_vs_EX,ER,EX,0.0626020943041954,2.5389626026153564,3.016291856765747
llama31,15,residualized,ER_vs_IP,ER,IP,0.2899666587163033,2.5389626026153564,1.9739717245101929
llama31,15,residualized,EX_vs_IP,EX,IP,0.4464940531840696,3.016291856765747,1.9739717245101929
