condition_id,mechanism,alpha,target_layer,ppl,mean_nll,n_eval_tokens,n_steps,seq_len_used,vector_raw_norm,vector_normed_on_load,dataset_source,dataset_name,dataset_config,dataset_split,delta_ppl_vs_baseline,ratio_ppl_vs_baseline
baseline,BASE,0.0,15,8.038348310300043,2.0842236280441284,4096,7,4096,,False,hf,wikitext,wikitext-103-v1,test,0.0,1.0
ER_a-1,ER,-1.0,15,8.184891175105802,2.102289915084839,4096,7,4096,2.5389626026153564,False,hf,wikitext,wikitext-103-v1,test,0.1465428648057596,1.0182304696373987
ER_a+1,ER,1.0,15,8.294782170579156,2.115626662969589,4096,7,4096,2.5389626026153564,False,hf,wikitext,wikitext-103-v1,test,0.2564338602791132,1.0319013123567349
ER_a+2,ER,2.0,15,9.370060028061332,2.2375195026397705,4096,7,4096,2.5389626026153564,False,hf,wikitext,wikitext-103-v1,test,1.331711717761289,1.1656698200120146
EX_a-1,EX,-1.0,15,8.242056515043712,2.1092498898506165,4096,7,4096,3.016292095184326,False,hf,wikitext,wikitext-103-v1,test,0.2037082047436698,1.0253420475052872
EX_a+1,EX,1.0,15,8.401805128223714,2.128446578979492,4096,7,4096,3.016292095184326,False,hf,wikitext,wikitext-103-v1,test,0.3634568179236712,1.0452153606553665
EX_a+2,EX,2.0,15,10.1281837874688,2.3153220117092133,4096,7,4096,3.016292095184326,False,hf,wikitext,wikitext-103-v1,test,2.0898354771687586,1.2599831951162055
IP_a-1,IP,-1.0,15,8.182965584046515,2.102054625749588,4096,7,4096,1.9739716053009035,False,hf,wikitext,wikitext-103-v1,test,0.1446172737464728,1.01799091905002
IP_a+1,IP,1.0,15,8.136648444472186,2.096378356218338,4096,7,4096,1.9739716053009035,False,hf,wikitext,wikitext-103-v1,test,0.0983001341721436,1.0122288970790412
IP_a+2,IP,2.0,15,8.579351536585502,2.149358332157135,4096,7,4096,1.9739716053009035,False,hf,wikitext,wikitext-103-v1,test,0.5410032262854596,1.06730278477635
